birds, neural network result (jump), currentFitness
1,-16.33197,6.739923
1,7.974113,6.748257
1,16.72733,6.756582
1,1.746612,6.76492
1,20.20548,6.773256
1,-3.441708,6.781581
1,11.03581,6.78992
1,6.782557,6.798254
1,8.710486,6.806587
1,13.34078,6.814912
1,19.39461,6.823256
1,1.580465,6.831581
1,-9.477682,6.839922
1,20.87802,6.848247
1,-15.28455,6.856588
1,-3.180632,6.864913
1,18.68348,6.87325
1,-2.96243,6.881592
1,-13.96243,6.889917
1,3.816204,6.898253
1,22.77178,6.906589
1,-3.628772,6.914914
1,-10.85435,6.923253
1,-7.122838,6.931578
1,-17.64271,6.939923
1,-15.91926,6.948248
1,-7.461713,6.956589
1,0.232295,6.964914
1,5.651259,6.97325
1,-7.421105,6.981575
1,-19.622,6.989923
1,-17.2111,6.998248
1,10.60326,7.006591
1,-19.3473,7.014916
1,21.48188,7.023242
1,-11.6426,7.03159
1,13.66014,7.039915
1,-12.25829,7.048254
1,16.20337,7.056588
1,-10.96905,7.064913
1,3.626508,7.073252
1,-18.76216,7.081577
1,-3.926241,7.089922
1,-11.98179,7.098248
1,-2.043967,7.106589
1,16.59431,7.114914
1,14.79768,7.123253
1,15.46183,7.131578
1,5.84268,7.139919
1,10.77823,7.148244
1,-7.422189,7.156586
1,23.19157,7.16492
1,22.61547,7.173245
1,27.95958,7.181585
1,2.798356,7.189919
1,-12.71311,7.198253
1,16.32626,7.206589
1,17.40688,7.214914
1,13.81444,7.223252
1,24.13637,7.2316
1,5.191872,7.239925
1,0.599686,7.24825
1,29.7312,7.256586
1,-2.783141,7.264911
1,14.19985,7.273251
1,2.804441,7.281576
1,-0.422991,7.28992
1,10.11434,7.298245
1,-10.10376,7.306587
1,-10.26513,7.314912
1,15.09709,7.323253
1,-11.21713,7.331586
1,-11.75304,7.339911
1,-8.405142,7.348258
1,-14.5441,7.356583
1,-7.079443,7.364908
1,-2.905862,7.373251
1,-15.97818,7.381576
1,4.562868,7.38992
1,5.726586,7.398245
1,-0.012351,7.406583
1,-2.409287,7.414908
1,-0.532243,7.423247
1,-7.21679,7.431572
1,-10.9806,7.439919
1,-20.581,7.448244
1,-7.456829,7.456581
1,-16.20972,7.464915
1,-0.558255,7.47324
1,16.46665,7.481583
1,7.025552,7.489918
1,-6.88601,7.498243
1,2.702562,7.506582
1,-24.74635,7.514907
1,-1.235754,7.523251
1,0.056149,7.531576
1,11.44293,7.539918
1,16.25613,7.548243
1,-5.873342,7.556579
1,-6.246631,7.564917
1,-1.986011,7.573242
1,13.96897,7.581576
1,9.013159,7.589919
1,-17.14025,7.598244
1,-0.545419,7.606579
1,13.78747,7.614904
1,8.48435,7.623248
1,-10.36199,7.631573
1,-12.07666,7.639914
1,-3.900562,7.648248
1,9.633916,7.656581
1,-10.61865,7.664907
1,-5.120175,7.673248
1,19.86027,7.681573
1,11.51225,7.689916
1,-16.40934,7.698241
1,-2.044351,7.706581
1,10.99749,7.714906
1,7.010045,7.723246
1,-13.36982,7.731571
1,11.63809,7.739917
1,-11.19407,7.748242
1,5.023254,7.75658
1,6.895561,7.764905
1,-12.45694,7.773248
1,-4.537606,7.781584
1,-3.451376,7.789909
1,-0.755307,7.798234
1,-21.44068,7.806583
1,-1.648484,7.814908
1,-10.07115,7.823246
1,11.14299,7.831572
1,20.34082,7.83992
1,-3.561346,7.848245
1,-0.823171,7.856583
1,-5.222747,7.864908
1,17.8103,7.873243
1,2.483397,7.88158
1,-7.456868,7.889915
1,-3.536628,7.89824
1,9.07333,7.90658
1,19.78476,7.914905
1,-3.574061,7.923243
1,-6.522531,7.931595
1,-7.038352,7.93992
1,-12.07138,7.948246
1,5.77229,7.956579
1,-3.882741,7.964904
1,13.01609,7.973243
1,11.77115,7.981594
1,-10.49337,7.989919
1,10.48699,7.998244
1,4.047825,8.006611
1,-1.63679,8.014935
1,-16.35367,8.02326
1,-19.40396,8.031585
1,0.313013,8.039909
1,18.10868,8.048234
1,-10.50352,8.056579
1,-0.173234,8.064903
1,13.41725,8.073239
1,-4.914585,8.081576
1,20.59209,8.089901
1,-12.17407,8.09824
1,19.48036,8.106565
1,-13.61652,8.114902
1,8.838807,8.123238
1,18.42952,8.131573
1,12.18474,8.139907
1,5.305319,8.148232
1,-4.139885,8.156574
1,-0.324536,8.164899
1,-1.824166,8.173238
1,12.61779,8.181562
1,-5.132519,8.189905
1,-19.00488,8.19823
1,-3.064761,8.206573
1,-9.223624,8.214897
1,-14.94206,8.223236
1,24.06706,8.231561
1,-19.56263,8.239903
1,-5.209085,8.248228
1,-3.255217,8.256571
1,-10.81667,8.264895
1,-10.50255,8.273237
1,7.961914,8.28157
1,8.83217,8.289895
1,-10.97,8.298239
1,-1.613078,8.306563
1,-12.93489,8.3149
1,-2.890955,8.323236
1,15.40592,8.33156
1,27.79748,8.3399
1,-9.761091,8.348236
1,20.29033,8.356561
1,-13.43421,8.366117
1,12.90919,8.374442
1,-11.16822,8.382767
1,32.65501,8.391091
1,-20.64524,8.399416
1,-16.70315,8.407741
1,10.22836,8.416065
1,18.17698,8.42439
1,9.980634,8.432714
1,9.581055,8.441039
1,-3.911385,8.449364
1,2.958075,8.457688
1,1.423302,8.466013
1,9.957321,8.474338
1,9.195157,8.482662
1,27.20876,8.490987
1,13.40758,8.499311
1,-9.37629,8.507636
1,13.56005,8.515961
1,-15.50163,8.524285
1,-2.97193,8.53261
1,28.42724,8.540935
1,-3.540787,8.549259
1,-13.46418,8.557584
1,1.302456,8.565908
1,13.11241,8.574233
1,-4.019661,8.582558
1,-10.2913,8.590882
1,-6.530936,8.599207
1,-17.02622,8.607532
1,-15.3193,8.615856
1,-7.262197,8.624181
1,0.032086,8.632505
1,14.11707,8.64083
1,-7.806032,8.649155
1,-20.14752,8.657479
1,-17.32374,8.665804
1,1.957967,8.674129
