birds, neural network result (jump), currentFitness
1,-1.057583,6.189521
1,-14.02546,6.191839
1,20.3654,6.193758
1,14.03148,6.195678
1,-6.598432,6.197919
1,0.355651,6.200973
1,20.42385,6.202913
1,-14.97425,6.204776
1,-10.90824,6.206598
1,-2.231094,6.208676
1,4.363519,6.210444
1,-0.983144,6.212266
1,-0.664325,6.214586
1,15.01287,6.217395
1,-12.89041,6.219826
1,21.83336,6.221629
1,-8.140629,6.223503
1,-6.353516,6.225755
1,0.9636,6.227528
1,3.090359,6.229371
1,13.83891,6.231489
1,8.634209,6.23429
1,-17.57934,6.236335
1,-21.91425,6.238206
1,-17.78299,6.240121
1,10.22417,6.24251
1,3.94032,6.244498
1,28.78228,6.246377
1,-4.302332,6.248394
1,-13.94202,6.250659
1,-5.727795,6.252629
1,-11.1614,6.254422
1,-7.853599,6.256211
1,-11.14677,6.258355
1,11.88294,6.260173
1,-12.94819,6.261982
1,9.046682,6.264141
1,-12.8181,6.267522
1,-6.48662,6.269327
1,-15.58129,6.271108
1,-13.55837,6.272991
1,11.61774,6.275153
1,2.966502,6.277055
1,1.1891,6.279146
1,8.025922,6.281545
1,11.86595,6.28375
1,8.010318,6.286025
1,11.64851,6.290268
1,-3.805432,6.292956
1,12.23349,6.297932
1,23.02658,6.301201
1,12.31361,6.303438
1,5.797102,6.305342
1,0.788393,6.307255
1,13.69805,6.310692
1,3.271403,6.314034
1,2.632879,6.315811
1,1.756985,6.318791
1,13.19099,6.320611
1,4.380328,6.322516
1,-9.553252,6.324926
1,16.69696,6.326835
1,1.172629,6.328631
1,-15.98375,6.330698
1,-17.14788,6.332597
1,14.02657,6.334752
1,0.912373,6.336555
1,-10.47404,6.338407
1,-4.961283,6.340208
1,12.74894,6.342672
1,4.735754,6.344558
1,24.42251,6.346397
1,9.325102,6.348381
1,-8.246066,6.350601
1,-14.48888,6.352561
1,-16.91179,6.354479
1,4.850073,6.356399
1,3.03367,6.358577
1,3.515791,6.36063
1,-0.683256,6.362508
1,9.393802,6.364619
1,12.3878,6.367571
1,8.683498,6.369398
1,-9.989412,6.371195
1,-10.3251,6.373323
1,-6.533082,6.375847
1,23.06281,6.377777
0,-8.000692,6.379711
0,-24.50608,6.379711
0,-17.34259,6.379711
0,7.938294,6.379711
0,7.523446,6.379711
0,-14.44821,6.379711
0,-12.59584,6.379711
0,12.87008,6.379711
0,15.63996,6.379711
0,-9.838848,6.379711
0,-16.54075,6.379711
0,9.204599,6.379711
0,15.36702,6.379711
0,-19.02025,6.379711
0,10.20132,6.379711
0,-6.761464,6.379711
0,16.51503,6.379711
0,-12.08895,6.379711
0,-5.808791,6.379711
0,12.77456,6.379711
0,-11.34584,6.379711
0,9.211354,6.379711
0,22.525,6.379711
0,3.83949,6.379711
0,-14.60906,6.379711
0,26.79879,6.379711
0,19.83058,6.379711
